bowler,phase,season,runs_conceded,legal_balls,wickets,overs,economy
CJ Jordan,Death,2021,210.0,117,9,19.5,10.77
CJ Jordan,Death,2022,74.0,35,2,5.83,12.69
CJ Jordan,Death,2023,117.0,60,2,10.0,11.7
CJ Jordan,Middle,2016,89.0,78,7,13.0,6.85
CJ Jordan,Middle,2018,4.0,6,0,1.0,4.0
CJ Jordan,Middle,2021,119.0,108,5,18.0,6.61
CJ Jordan,Middle,2022,39.0,18,0,3.0,13.0
CJ Jordan,Middle,2023,66.0,36,0,6.0,11.0
CJ Jordan,Powerplay,2016,54.0,30,1,5.0,10.8
CJ Jordan,Powerplay,2017,9.0,6,1,1.0,9.0
CJ Jordan,Powerplay,2018,14.0,12,0,2.0,7.0
CJ Jordan,Powerplay,2021,82.0,42,2,7.0,11.71
CJ Jordan,Powerplay,2022,22.0,24,1,4.0,5.5
CJ Jordan,Powerplay,2023,54.0,36,1,6.0,9.0
CJ McKay,Death,2012,20.0,12,0,2.0,10.0
CJ McKay,Middle,2012,14.0,18,1,3.0,4.67
CJ McKay,Powerplay,2012,26.0,12,0,2.0,13.0
CK Kapugedera,Death,2008,15.0,6,0,1.0,15.0
CK Kapugedera,Middle,2008,34.0,11,0,1.83,18.58
CK Langeveldt,Death,2009,4.0,6,0,1.0,4.0
CK Langeveldt,Death,2010,34.0,24,2,4.0,8.5
CK Langeveldt,Death,2011,24.0,18,2,3.0,8.0
CK Langeveldt,Middle,2009,3.0,6,1,1.0,3.0
CK Langeveldt,Middle,2010,2.0,6,1,1.0,2.0
CK Langeveldt,Middle,2011,24.0,12,1,2.0,12.0
CK Langeveldt,Powerplay,2009,8.0,12,2,2.0,4.0
CK Langeveldt,Powerplay,2010,52.0,36,2,6.0,8.67
CK Langeveldt,Powerplay,2011,36.0,36,2,6.0,6.0
CL White,Middle,2008,24.0,6,0,1.0,24.0
CL White,Middle,2010,19.0,6,0,1.0,19.0
CL White,Middle,2012,27.0,18,0,3.0,9.0
CL White,Middle,2013,16.0,12,1,2.0,8.0
CR Brathwaite,Death,2016,25.0,19,1,3.17,7.89
CR Brathwaite,Death,2017,29.0,12,1,2.0,14.5
CR Brathwaite,Death,2018,40.0,25,5,4.17,9.59
CR Brathwaite,Middle,2016,139.0,102,7,17.0,8.18
CR Brathwaite,Middle,2017,38.0,24,0,4.0,9.5
CR Brathwaite,Middle,2018,54.0,36,1,6.0,9.0
CR Brathwaite,Middle,2019,24.0,12,0,2.0,12.0
CR Brathwaite,Powerplay,2016,25.0,18,1,3.0,8.33
CR Brathwaite,Powerplay,2019,5.0,6,0,1.0,5.0
CR Woakes,Death,2017,140.0,84,8,14.0,10.0
CR Woakes,Death,2018,96.0,50,6,8.33,11.52
CR Woakes,Death,2021,47.0,24,2,4.0,11.75
CR Woakes,Middle,2017,115.0,108,9,18.0,6.39
CR Woakes,Middle,2018,18.0,12,0,2.0,9.0
CR Woakes,Powerplay,2017,131.0,72,1,12.0,10.92
CR Woakes,Powerplay,2018,76.0,48,2,8.0,9.5
CR Woakes,Powerplay,2021,35.0,42,3,7.0,5.0
CRD Fernando,Death,2008,93.0,54,5,9.0,10.33
CRD Fernando,Death,2010,35.0,30,2,5.0,7.0
CRD Fernando,Middle,2008,48.0,42,2,7.0,6.86
CRD Fernando,Middle,2010,35.0,30,3,5.0,7.0
CRD Fernando,Powerplay,2008,19.0,24,5,4.0,4.75
CRD Fernando,Powerplay,2010,68.0,54,2,9.0,7.56
CV Varun,Death,2021,134.0,102,7,17.0,7.88
CV Varun,Death,2022,59.0,36,1,6.0,9.83
CV Varun,Death,2023,106.0,76,4,12.67,8.37
CV Varun,Death,2024,72.0,48,2,8.0,9.0
CV Varun,Death,2025,51.0,42,5,7.0,7.29
CV Varun,Death,2026,54.0,24,3,4.0,13.5
